system:index,ID,aspect,elevation,hillshade,slope,site,system_ind,cluster,group_15,group_3,group_10,group_6,group_4,group_2,fire_history,southwestness,twi,.geo,long,lat
0000000000000000001c,29,105.2066431,462.3115845,125,18.69351134,site_2,2.16,4,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.915986666,,"{""type"":""Point"",""coordinates"":[-118.76162843458877,34.49711738471443]}",-118.7616284,34.49711738
0000000000000000001d,30,46.52330707,453.4265442,164,6.976194777,site_2,2.17,4,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,-0.828659156,,"{""type"":""Point"",""coordinates"":[-118.76087930561175,34.49641730584904]}",-118.7608793,34.49641731
0000000000000000001e,31,137.0276683,475.7694702,146,16.09644777,site_2,2.18,3,9,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.999970066,,"{""type"":""Point"",""coordinates"":[-118.76229284064569,34.49687659325755]}",-118.7622928,34.49687659
0000000000000000001f,32,67.0823873,445.1834106,131,17.19458072,site_2,2.19,2,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.668965629,,"{""type"":""Point"",""coordinates"":[-118.76041555910219,34.49664026090171]}",-118.7604156,34.49664026
20,33,58.58060534,432.0314026,160,7.514949479,site_2,2.2,4,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,-0.996388318,,"{""type"":""Point"",""coordinates"":[-118.75954603439676,34.496176514392154]}",-118.759546,34.49617651
21,34,87.10111658,430.874115,148,10.22855568,site_2,2.21,4,7,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.945654978,,"{""type"":""Point"",""coordinates"":[-118.75955495259889,34.49654216067854]}",-118.759555,34.49654216
22,35,13.89808628,454.0540771,157,32.60596357,intct,INT1,5,2,chaparral,HEAR,HEAR,HEAR,HEAR,2007,-0.816654617,,"{""type"":""Point"",""coordinates"":[-118.76466508240613,34.47116541658338]}",-118.7646651,34.47116542
23,36,8.011665749,469.3861084,166,34.47918911,intct,INT2,5,2,chaparral,HEAR,HEAR,HEAR,HEAR,2007,-0.97623645,,"{""type"":""Point"",""coordinates"":[-118.76477655993247,34.47105393905705]}",-118.7647766,34.47105394
24,37,28.33371345,370.5519714,142,26.2899108,intct,INT3,5,2,chaparral,HEAR,HEAR,HEAR,HEAR,2007,-0.311475804,,"{""type"":""Point"",""coordinates"":[-118.7613831840308,34.472382751170976]}",-118.7613832,34.47238275
25,38,23.9253032,448.0903931,139,34.64219267,intct,INT4,5,1,chaparral,HEAR+CEOL,HEAR+CEOL,HEAR+CEOL,HEAR,2007,0.999918503,,"{""type"":""Point"",""coordinates"":[-118.76631049069486,34.470978134339134]}",-118.7663105,34.47097813
26,39,356.7363305,383.8929443,183,15.33110981,intct,INT5,5,2,chaparral,HEAR,HEAR,HEAR,HEAR,2007,0.977913825,,"{""type"":""Point"",""coordinates"":[-118.76548109789891,34.47241396487834]}",-118.7654811,34.47241396
