system:index,ID,aspect,elevation,fire_event_count,hillshade,last_fire,slope,system_ind,twi,.geo
00000000000000000017,24,160.6130943235317,477.46405029296875,2,150,2003_2007,30.073366325461393,2.11,-18.53600311,"{""type"":""Point"",""coordinates"":[-118.76067864606436,34.49813851885567]}"
0000000000000000001f,32,67.08238730215946,445.18341064453125,2,131,2003_2007,17.194580719246634,2.19,-18.15808105,"{""type"":""Point"",""coordinates"":[-118.76041555910219,34.49664026090171]}"
0000000000000000000f,16,5.210790699825806,448.03680419921875,2,178,2003_2007,7.350957342418644,2.03,-16.7841301,"{""type"":""Point"",""coordinates"":[-118.76085701010648,34.49676957483226]}"
00000000000000000018,25,160.4044832531902,472.6124572753906,2,153,2003_2007,26.49155750289447,2.12,-16.10066223,"{""type"":""Point"",""coordinates"":[-118.76166856649823,34.49741168538396]}"
00000000000000000015,22,159.90269679653753,472.4145508,2,153,2003_2007,26.629505007452703,2.09,-17.95115852,"{""type"":""Point"",""coordinates"":[-118.7604423137085,34.49807609144092]}"
00000000000000000021,34,87.10111657787705,430.8741149902344,2,148,2003_2007,10.228555684016788,2.21,-16.66472054,"{""type"":""Point"",""coordinates"":[-118.75955495259889,34.49654216067854]}"
0000000000000000000d,14,51.55576043191291,449.1976623535156,2,160,2003_2007,8.260508393512659,2.01,-15.90743446,"{""type"":""Point"",""coordinates"":[-118.7609997013402,34.496760656630165]}"
00000000000000000014,21,166.7433210649627,467.0610352,2,163,2003_2007,24.382882841103754,2.08,-17.61892319,"{""type"":""Point"",""coordinates"":[-118.76070985977174,34.497915563803005]}"
00000000000000000012,19,46.523307070763494,453.4265441894531,2,164,2003_2007,6.976194776921619,2.06,-19.25292587,"{""type"":""Point"",""coordinates"":[-118.76087930561175,34.49641730584904]}"
0000000000000000001d,30,46.523307070763494,453.4265441894531,2,164,2003_2007,6.976194776921619,2.17,-19.25292587,"{""type"":""Point"",""coordinates"":[-118.76087930561175,34.49641730584904]}"
00000000000000000019,26,105.20664312932738,462.31158447265625,2,125,2003_2007,18.69351133653045,2.13,-16.79911041,"{""type"":""Point"",""coordinates"":[-118.76166856649823,34.49713076201759]}"
0000000000000000001c,29,105.20664312932738,462.31158447265625,2,125,2003_2007,18.69351133653045,2.16,-16.79911041,"{""type"":""Point"",""coordinates"":[-118.76162843458877,34.49711738471443]}"
00000000000000000025,38,23.925303200452117,448.09039306640625,2,139,2003_2007,34.64219267,INT4,-19.10398865,"{""type"":""Point"",""coordinates"":[-118.76631049069486,34.470978134339134]}"
