"","DEG1_1","DEG1_2","DEG1_3","DEG2_4","DEG2_5","DEG2_6","ENH1_1","ENH1_2","ENH1_3","ENH2_4","ENH2_5","ENH2_6","Intact_1_1","Intact_2_2","Intact_3_3"
"105",0,0,0,0.853658536585366,0,0,0,0,0,0,0,0,0,0,0
"106",0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0
"107",0,0,0,0.048780487804878,0,0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0.048780487804878,0,0,0,0,0,0,0,0,0
"109",0,0,0,0.0731707317073171,0,0,0,0,0,0,0,0,0,0,0
"110",0,0,0,0,0.878048780487805,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0.024390243902439,0.024390243902439,0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,0,0.048780487804878,0,0,0,0,0,0,0,0,0
"114",0,0,0,0.048780487804878,0,0,0,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0.0731707317073171,0,0,0,0,0,0,0,0,0
"116",0,0,0,0,0.170731707317073,0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0.146341463414634,0,0,0,0,0,0,0,0,0,0,0
"118",0,0,0,0,0,0.292682926829268,0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0.365853658536585,0,0,0,0,0,0,0,0,0,0
"120",0,0,0,0,0.024390243902439,0.024390243902439,0,0,0,0,0,0,0,0,0
"121",0,0,0,0.0731707317073171,0,0,0,0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0.121951219512195,0,0,0,0,0,0,0,0,0
"123",0,0,0,0,0.195121951219512,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0.170731707317073,0,0,0,0,0,0,0,0,0,0,0
