"","standtype","site","rep","species","status","count"
"99","intact","Intact2","2","Rhamnus ilicifolia","dead",0
"100","intact","Intact2","2","Rhus ovata","dead",0
"101","intact","Intact2","2","Salvia apiana","dead",0
"102","intact","Intact2","2","Salvia leucophylla","dead",0
"103","intact","Intact2","2","Sambucus mexicana","dead",0
"104","intact","Intact2","2","unknown5 shrub","dead",0
"105","intact","Intact3","3","Artemisia californica","dead",0
"106","intact","Intact3","3","Baccharis pilularis","dead",0
"107","intact","Intact3","3","Cenothus oliganthus","dead",0
"108","intact","Intact3","3","Eriodictyon crassifolium","dead",0
"109","intact","Intact3","3","Eriogonum fasciculatum","dead",0
"110","intact","Intact3","3","Heteromeles arbutifolia","dead",0
"111","intact","Intact3","3","Malacothamnus fasciculatus","dead",0
"112","intact","Intact3","3","Rhamnus ilicifolia","dead",0
"113","intact","Intact3","3","Rhus ovata","dead",1
"114","intact","Intact3","3","Salvia apiana","dead",0
"115","intact","Intact3","3","Salvia leucophylla","dead",0
"116","intact","Intact3","3","Sambucus mexicana","dead",0
"117","intact","Intact3","3","unknown5 shrub","dead",0
"118","matrix","ENH1","1","Artemisia californica","dead",0
"119","matrix","ENH1","1","Baccharis pilularis","dead",0
"120","matrix","ENH1","1","Cenothus oliganthus","dead",0
"121","matrix","ENH1","1","Eriodictyon crassifolium","dead",0
"122","matrix","ENH1","1","Eriogonum fasciculatum","dead",0
"123","matrix","ENH1","1","Heteromeles arbutifolia","dead",0
"124","matrix","ENH1","1","Malacothamnus fasciculatus","dead",4
"125","matrix","ENH1","1","Rhamnus ilicifolia","dead",0
"126","matrix","ENH1","1","Rhus ovata","dead",0
"127","matrix","ENH1","1","Salvia apiana","dead",0
"128","matrix","ENH1","1","Salvia leucophylla","dead",0
"129","matrix","ENH1","1","Sambucus mexicana","dead",0
"130","matrix","ENH1","1","unknown5 shrub","dead",0
"131","matrix","ENH1","2","Artemisia californica","dead",0
"132","matrix","ENH1","2","Baccharis pilularis","dead",0
"133","matrix","ENH1","2","Cenothus oliganthus","dead",0
"134","matrix","ENH1","2","Eriodictyon crassifolium","dead",0
"135","matrix","ENH1","2","Eriogonum fasciculatum","dead",0
"136","matrix","ENH1","2","Heteromeles arbutifolia","dead",0
"137","matrix","ENH1","2","Malacothamnus fasciculatus","dead",2
"138","matrix","ENH1","2","Rhamnus ilicifolia","dead",0
"139","matrix","ENH1","2","Rhus ovata","dead",0
"140","matrix","ENH1","2","Salvia apiana","dead",0
"141","matrix","ENH1","2","Salvia leucophylla","dead",0
"142","matrix","ENH1","2","Sambucus mexicana","dead",0
"143","matrix","ENH1","2","unknown5 shrub","dead",0
"144","matrix","ENH1","3","Artemisia californica","dead",0
"145","matrix","ENH1","3","Baccharis pilularis","dead",0
"146","matrix","ENH1","3","Cenothus oliganthus","dead",0
"147","matrix","ENH1","3","Eriodictyon crassifolium","dead",12
"148","matrix","ENH1","3","Eriogonum fasciculatum","dead",0
"149","matrix","ENH1","3","Heteromeles arbutifolia","dead",0
"150","matrix","ENH1","3","Malacothamnus fasciculatus","dead",238
"151","matrix","ENH1","3","Rhamnus ilicifolia","dead",0
"152","matrix","ENH1","3","Rhus ovata","dead",0
"153","matrix","ENH1","3","Salvia apiana","dead",0
"154","matrix","ENH1","3","Salvia leucophylla","dead",0
"155","matrix","ENH1","3","Sambucus mexicana","dead",0
"156","matrix","ENH1","3","unknown5 shrub","dead",0
"157","matrix","ENH2","4","Artemisia californica","dead",0
"158","matrix","ENH2","4","Baccharis pilularis","dead",0
"159","matrix","ENH2","4","Cenothus oliganthus","dead",0
"160","matrix","ENH2","4","Eriodictyon crassifolium","dead",0
"161","matrix","ENH2","4","Eriogonum fasciculatum","dead",0
"162","matrix","ENH2","4","Heteromeles arbutifolia","dead",0
"163","matrix","ENH2","4","Malacothamnus fasciculatus","dead",0
"164","matrix","ENH2","4","Rhamnus ilicifolia","dead",0
"165","matrix","ENH2","4","Rhus ovata","dead",0
"166","matrix","ENH2","4","Salvia apiana","dead",0
"167","matrix","ENH2","4","Salvia leucophylla","dead",0
"168","matrix","ENH2","4","Sambucus mexicana","dead",0
"169","matrix","ENH2","4","unknown5 shrub","dead",0
"170","matrix","ENH2","5","Artemisia californica","dead",0
"171","matrix","ENH2","5","Baccharis pilularis","dead",0
"172","matrix","ENH2","5","Cenothus oliganthus","dead",0
"173","matrix","ENH2","5","Eriodictyon crassifolium","dead",0
"174","matrix","ENH2","5","Eriogonum fasciculatum","dead",0
"175","matrix","ENH2","5","Heteromeles arbutifolia","dead",0
"176","matrix","ENH2","5","Malacothamnus fasciculatus","dead",0
"177","matrix","ENH2","5","Rhamnus ilicifolia","dead",0
"178","matrix","ENH2","5","Rhus ovata","dead",0
"179","matrix","ENH2","5","Salvia apiana","dead",0
"180","matrix","ENH2","5","Salvia leucophylla","dead",0
"181","matrix","ENH2","5","Sambucus mexicana","dead",0
"182","matrix","ENH2","5","unknown5 shrub","dead",0
"183","matrix","ENH2","6","Artemisia californica","dead",0
"184","matrix","ENH2","6","Baccharis pilularis","dead",0
"185","matrix","ENH2","6","Cenothus oliganthus","dead",0
"186","matrix","ENH2","6","Eriodictyon crassifolium","dead",0
"187","matrix","ENH2","6","Eriogonum fasciculatum","dead",0
"188","matrix","ENH2","6","Heteromeles arbutifolia","dead",0
"189","matrix","ENH2","6","Malacothamnus fasciculatus","dead",0
"190","matrix","ENH2","6","Rhamnus ilicifolia","dead",0
"191","matrix","ENH2","6","Rhus ovata","dead",0
"192","matrix","ENH2","6","Salvia apiana","dead",0
"193","matrix","ENH2","6","Salvia leucophylla","dead",0
"194","matrix","ENH2","6","Sambucus mexicana","dead",0
"195","matrix","ENH2","6","unknown5 shrub","dead",0
"196","degraded","DEG1","1","Artemisia californica","immature",1
"197","degraded","DEG1","1","Baccharis pilularis","immature",0
"198","degraded","DEG1","1","Cenothus oliganthus","immature",0
"199","degraded","DEG1","1","Eriodictyon crassifolium","immature",0
"200","degraded","DEG1","1","Eriogonum fasciculatum","immature",0
"201","degraded","DEG1","1","Heteromeles arbutifolia","immature",0
"202","degraded","DEG1","1","Malacothamnus fasciculatus","immature",0
"203","degraded","DEG1","1","Rhamnus ilicifolia","immature",0
"204","degraded","DEG1","1","Rhus ovata","immature",0
"205","degraded","DEG1","1","Salvia apiana","immature",0
"206","degraded","DEG1","1","Salvia leucophylla","immature",3
"207","degraded","DEG1","1","Sambucus mexicana","immature",0
"208","degraded","DEG1","1","unknown5 shrub","immature",0
"209","degraded","DEG1","2","Artemisia californica","immature",0
"210","degraded","DEG1","2","Baccharis pilularis","immature",0
"211","degraded","DEG1","2","Cenothus oliganthus","immature",0
"212","degraded","DEG1","2","Eriodictyon crassifolium","immature",0
"213","degraded","DEG1","2","Eriogonum fasciculatum","immature",0
"214","degraded","DEG1","2","Heteromeles arbutifolia","immature",0
"215","degraded","DEG1","2","Malacothamnus fasciculatus","immature",0
"216","degraded","DEG1","2","Rhamnus ilicifolia","immature",0
"217","degraded","DEG1","2","Rhus ovata","immature",0
"218","degraded","DEG1","2","Salvia apiana","immature",0
"219","degraded","DEG1","2","Salvia leucophylla","immature",1
"220","degraded","DEG1","2","Sambucus mexicana","immature",0
"221","degraded","DEG1","2","unknown5 shrub","immature",0
"222","degraded","DEG1","3","Artemisia californica","immature",1
"223","degraded","DEG1","3","Baccharis pilularis","immature",0
"224","degraded","DEG1","3","Cenothus oliganthus","immature",0
"225","degraded","DEG1","3","Eriodictyon crassifolium","immature",0
"226","degraded","DEG1","3","Eriogonum fasciculatum","immature",0
"227","degraded","DEG1","3","Heteromeles arbutifolia","immature",0
"228","degraded","DEG1","3","Malacothamnus fasciculatus","immature",0
"229","degraded","DEG1","3","Rhamnus ilicifolia","immature",0
"230","degraded","DEG1","3","Rhus ovata","immature",0
"231","degraded","DEG1","3","Salvia apiana","immature",0
"232","degraded","DEG1","3","Salvia leucophylla","immature",1
"233","degraded","DEG1","3","Sambucus mexicana","immature",0
"234","degraded","DEG1","3","unknown5 shrub","immature",0
"235","degraded","DEG2","4","Artemisia californica","immature",0
"236","degraded","DEG2","4","Baccharis pilularis","immature",0
"237","degraded","DEG2","4","Cenothus oliganthus","immature",0
"238","degraded","DEG2","4","Eriodictyon crassifolium","immature",0
"239","degraded","DEG2","4","Eriogonum fasciculatum","immature",0
"240","degraded","DEG2","4","Heteromeles arbutifolia","immature",0
"241","degraded","DEG2","4","Malacothamnus fasciculatus","immature",4
"242","degraded","DEG2","4","Rhamnus ilicifolia","immature",0
"243","degraded","DEG2","4","Rhus ovata","immature",0
"244","degraded","DEG2","4","Salvia apiana","immature",0
"245","degraded","DEG2","4","Salvia leucophylla","immature",0
"246","degraded","DEG2","4","Sambucus mexicana","immature",0
"247","degraded","DEG2","4","unknown5 shrub","immature",0
"248","degraded","DEG2","5","Artemisia californica","immature",0
"249","degraded","DEG2","5","Baccharis pilularis","immature",0
"250","degraded","DEG2","5","Cenothus oliganthus","immature",0
"251","degraded","DEG2","5","Eriodictyon crassifolium","immature",0
"252","degraded","DEG2","5","Eriogonum fasciculatum","immature",0
"253","degraded","DEG2","5","Heteromeles arbutifolia","immature",0
"254","degraded","DEG2","5","Malacothamnus fasciculatus","immature",3
"255","degraded","DEG2","5","Rhamnus ilicifolia","immature",0
"256","degraded","DEG2","5","Rhus ovata","immature",0
"257","degraded","DEG2","5","Salvia apiana","immature",0
"258","degraded","DEG2","5","Salvia leucophylla","immature",1
"259","degraded","DEG2","5","Sambucus mexicana","immature",0
"260","degraded","DEG2","5","unknown5 shrub","immature",0
"261","degraded","DEG2","6","Artemisia californica","immature",0
"262","degraded","DEG2","6","Baccharis pilularis","immature",0
"263","degraded","DEG2","6","Cenothus oliganthus","immature",0
"264","degraded","DEG2","6","Eriodictyon crassifolium","immature",0
"265","degraded","DEG2","6","Eriogonum fasciculatum","immature",0
"266","degraded","DEG2","6","Heteromeles arbutifolia","immature",0
"267","degraded","DEG2","6","Malacothamnus fasciculatus","immature",0
"268","degraded","DEG2","6","Rhamnus ilicifolia","immature",0
"269","degraded","DEG2","6","Rhus ovata","immature",0
"270","degraded","DEG2","6","Salvia apiana","immature",0
"271","degraded","DEG2","6","Salvia leucophylla","immature",0
"272","degraded","DEG2","6","Sambucus mexicana","immature",0
"273","degraded","DEG2","6","unknown5 shrub","immature",0
"274","intact","Intact1","1","Artemisia californica","immature",6
"275","intact","Intact1","1","Baccharis pilularis","immature",0
"276","intact","Intact1","1","Cenothus oliganthus","immature",0
"277","intact","Intact1","1","Eriodictyon crassifolium","immature",0
"278","intact","Intact1","1","Eriogonum fasciculatum","immature",0
"279","intact","Intact1","1","Heteromeles arbutifolia","immature",2
"280","intact","Intact1","1","Malacothamnus fasciculatus","immature",0
"281","intact","Intact1","1","Rhamnus ilicifolia","immature",1
"282","intact","Intact1","1","Rhus ovata","immature",1
"283","intact","Intact1","1","Salvia apiana","immature",0
"284","intact","Intact1","1","Salvia leucophylla","immature",6
"285","intact","Intact1","1","Sambucus mexicana","immature",0
"286","intact","Intact1","1","unknown5 shrub","immature",0
"287","intact","Intact2","2","Artemisia californica","immature",7
"288","intact","Intact2","2","Baccharis pilularis","immature",0
"289","intact","Intact2","2","Cenothus oliganthus","immature",0
"290","intact","Intact2","2","Eriodictyon crassifolium","immature",0
"291","intact","Intact2","2","Eriogonum fasciculatum","immature",0
"292","intact","Intact2","2","Heteromeles arbutifolia","immature",1
"293","intact","Intact2","2","Malacothamnus fasciculatus","immature",0
"294","intact","Intact2","2","Rhamnus ilicifolia","immature",0
"295","intact","Intact2","2","Rhus ovata","immature",1
"296","intact","Intact2","2","Salvia apiana","immature",0
"297","intact","Intact2","2","Salvia leucophylla","immature",3
"298","intact","Intact2","2","Sambucus mexicana","immature",0
"299","intact","Intact2","2","unknown5 shrub","immature",0
"300","intact","Intact3","3","Artemisia californica","immature",2
"301","intact","Intact3","3","Baccharis pilularis","immature",0
"302","intact","Intact3","3","Cenothus oliganthus","immature",1
"303","intact","Intact3","3","Eriodictyon crassifolium","immature",0
"304","intact","Intact3","3","Eriogonum fasciculatum","immature",0
"305","intact","Intact3","3","Heteromeles arbutifolia","immature",2
"306","intact","Intact3","3","Malacothamnus fasciculatus","immature",0
"307","intact","Intact3","3","Rhamnus ilicifolia","immature",0
"308","intact","Intact3","3","Rhus ovata","immature",0
"309","intact","Intact3","3","Salvia apiana","immature",0
"310","intact","Intact3","3","Salvia leucophylla","immature",11
"311","intact","Intact3","3","Sambucus mexicana","immature",0
"312","intact","Intact3","3","unknown5 shrub","immature",0
"313","matrix","ENH1","1","Artemisia californica","immature",0
"314","matrix","ENH1","1","Baccharis pilularis","immature",0
"315","matrix","ENH1","1","Cenothus oliganthus","immature",0
"316","matrix","ENH1","1","Eriodictyon crassifolium","immature",0
"317","matrix","ENH1","1","Eriogonum fasciculatum","immature",0
"318","matrix","ENH1","1","Heteromeles arbutifolia","immature",0
"319","matrix","ENH1","1","Malacothamnus fasciculatus","immature",0
"320","matrix","ENH1","1","Rhamnus ilicifolia","immature",0
"321","matrix","ENH1","1","Rhus ovata","immature",0
"322","matrix","ENH1","1","Salvia apiana","immature",0
"323","matrix","ENH1","1","Salvia leucophylla","immature",0
"324","matrix","ENH1","1","Sambucus mexicana","immature",1
"325","matrix","ENH1","1","unknown5 shrub","immature",0
"326","matrix","ENH1","2","Artemisia californica","immature",1
"327","matrix","ENH1","2","Baccharis pilularis","immature",0
"328","matrix","ENH1","2","Cenothus oliganthus","immature",0
"329","matrix","ENH1","2","Eriodictyon crassifolium","immature",0
"330","matrix","ENH1","2","Eriogonum fasciculatum","immature",0
"331","matrix","ENH1","2","Heteromeles arbutifolia","immature",0
"332","matrix","ENH1","2","Malacothamnus fasciculatus","immature",11
"333","matrix","ENH1","2","Rhamnus ilicifolia","immature",0
"334","matrix","ENH1","2","Rhus ovata","immature",2
"335","matrix","ENH1","2","Salvia apiana","immature",0
"336","matrix","ENH1","2","Salvia leucophylla","immature",3
"337","matrix","ENH1","2","Sambucus mexicana","immature",0
"338","matrix","ENH1","2","unknown5 shrub","immature",0
"339","matrix","ENH1","3","Artemisia californica","immature",2
"340","matrix","ENH1","3","Baccharis pilularis","immature",0
"341","matrix","ENH1","3","Cenothus oliganthus","immature",0
"342","matrix","ENH1","3","Eriodictyon crassifolium","immature",3
"343","matrix","ENH1","3","Eriogonum fasciculatum","immature",0
"344","matrix","ENH1","3","Heteromeles arbutifolia","immature",0
"345","matrix","ENH1","3","Malacothamnus fasciculatus","immature",35
"346","matrix","ENH1","3","Rhamnus ilicifolia","immature",0
"347","matrix","ENH1","3","Rhus ovata","immature",3
"348","matrix","ENH1","3","Salvia apiana","immature",0
"349","matrix","ENH1","3","Salvia leucophylla","immature",2
"350","matrix","ENH1","3","Sambucus mexicana","immature",0
"351","matrix","ENH1","3","unknown5 shrub","immature",0
"352","matrix","ENH2","4","Artemisia californica","immature",0
"353","matrix","ENH2","4","Baccharis pilularis","immature",0
"354","matrix","ENH2","4","Cenothus oliganthus","immature",0
"355","matrix","ENH2","4","Eriodictyon crassifolium","immature",0
"356","matrix","ENH2","4","Eriogonum fasciculatum","immature",0
"357","matrix","ENH2","4","Heteromeles arbutifolia","immature",0
"358","matrix","ENH2","4","Malacothamnus fasciculatus","immature",2
"359","matrix","ENH2","4","Rhamnus ilicifolia","immature",0
"360","matrix","ENH2","4","Rhus ovata","immature",0
"361","matrix","ENH2","4","Salvia apiana","immature",0
"362","matrix","ENH2","4","Salvia leucophylla","immature",0
"363","matrix","ENH2","4","Sambucus mexicana","immature",0
"364","matrix","ENH2","4","unknown5 shrub","immature",0
"365","matrix","ENH2","5","Artemisia californica","immature",0
"366","matrix","ENH2","5","Baccharis pilularis","immature",0
"367","matrix","ENH2","5","Cenothus oliganthus","immature",0
"368","matrix","ENH2","5","Eriodictyon crassifolium","immature",0
"369","matrix","ENH2","5","Eriogonum fasciculatum","immature",0
"370","matrix","ENH2","5","Heteromeles arbutifolia","immature",0
"371","matrix","ENH2","5","Malacothamnus fasciculatus","immature",0
"372","matrix","ENH2","5","Rhamnus ilicifolia","immature",0
"373","matrix","ENH2","5","Rhus ovata","immature",0
"374","matrix","ENH2","5","Salvia apiana","immature",0
"375","matrix","ENH2","5","Salvia leucophylla","immature",0
"376","matrix","ENH2","5","Sambucus mexicana","immature",0
"377","matrix","ENH2","5","unknown5 shrub","immature",0
"378","matrix","ENH2","6","Artemisia californica","immature",0
"379","matrix","ENH2","6","Baccharis pilularis","immature",0
"380","matrix","ENH2","6","Cenothus oliganthus","immature",0
"381","matrix","ENH2","6","Eriodictyon crassifolium","immature",0
"382","matrix","ENH2","6","Eriogonum fasciculatum","immature",0
"383","matrix","ENH2","6","Heteromeles arbutifolia","immature",0
"384","matrix","ENH2","6","Malacothamnus fasciculatus","immature",1
"385","matrix","ENH2","6","Rhamnus ilicifolia","immature",0
"386","matrix","ENH2","6","Rhus ovata","immature",0
"387","matrix","ENH2","6","Salvia apiana","immature",0
"388","matrix","ENH2","6","Salvia leucophylla","immature",1
"389","matrix","ENH2","6","Sambucus mexicana","immature",0
"390","matrix","ENH2","6","unknown5 shrub","immature",0
"391","degraded","DEG1","1","Artemisia californica","mature",2
"392","degraded","DEG1","1","Baccharis pilularis","mature",0
"393","degraded","DEG1","1","Cenothus oliganthus","mature",0
"394","degraded","DEG1","1","Eriodictyon crassifolium","mature",0
"395","degraded","DEG1","1","Eriogonum fasciculatum","mature",0
"396","degraded","DEG1","1","Heteromeles arbutifolia","mature",0
"397","degraded","DEG1","1","Malacothamnus fasciculatus","mature",0
"398","degraded","DEG1","1","Rhamnus ilicifolia","mature",0
"399","degraded","DEG1","1","Rhus ovata","mature",0
"400","degraded","DEG1","1","Salvia apiana","mature",0
"401","degraded","DEG1","1","Salvia leucophylla","mature",16
"402","degraded","DEG1","1","Sambucus mexicana","mature",0
"403","degraded","DEG1","1","unknown5 shrub","mature",0
"404","degraded","DEG1","2","Artemisia californica","mature",2
"405","degraded","DEG1","2","Baccharis pilularis","mature",1
"406","degraded","DEG1","2","Cenothus oliganthus","mature",0
"407","degraded","DEG1","2","Eriodictyon crassifolium","mature",0
"408","degraded","DEG1","2","Eriogonum fasciculatum","mature",0
"409","degraded","DEG1","2","Heteromeles arbutifolia","mature",0
"410","degraded","DEG1","2","Malacothamnus fasciculatus","mature",0
"411","degraded","DEG1","2","Rhamnus ilicifolia","mature",0
"412","degraded","DEG1","2","Rhus ovata","mature",0
"413","degraded","DEG1","2","Salvia apiana","mature",0
"414","degraded","DEG1","2","Salvia leucophylla","mature",13
"415","degraded","DEG1","2","Sambucus mexicana","mature",0
"416","degraded","DEG1","2","unknown5 shrub","mature",0
"417","degraded","DEG1","3","Artemisia californica","mature",2
"418","degraded","DEG1","3","Baccharis pilularis","mature",0
"419","degraded","DEG1","3","Cenothus oliganthus","mature",0
"420","degraded","DEG1","3","Eriodictyon crassifolium","mature",0
"421","degraded","DEG1","3","Eriogonum fasciculatum","mature",0
"422","degraded","DEG1","3","Heteromeles arbutifolia","mature",0
"423","degraded","DEG1","3","Malacothamnus fasciculatus","mature",0
"424","degraded","DEG1","3","Rhamnus ilicifolia","mature",0
"425","degraded","DEG1","3","Rhus ovata","mature",0
"426","degraded","DEG1","3","Salvia apiana","mature",1
"427","degraded","DEG1","3","Salvia leucophylla","mature",4
"428","degraded","DEG1","3","Sambucus mexicana","mature",0
"429","degraded","DEG1","3","unknown5 shrub","mature",0
"430","degraded","DEG2","4","Artemisia californica","mature",0
"431","degraded","DEG2","4","Baccharis pilularis","mature",0
"432","degraded","DEG2","4","Cenothus oliganthus","mature",0
"433","degraded","DEG2","4","Eriodictyon crassifolium","mature",0
"434","degraded","DEG2","4","Eriogonum fasciculatum","mature",1
"435","degraded","DEG2","4","Heteromeles arbutifolia","mature",0
"436","degraded","DEG2","4","Malacothamnus fasciculatus","mature",3
"437","degraded","DEG2","4","Rhamnus ilicifolia","mature",0
"438","degraded","DEG2","4","Rhus ovata","mature",0
"439","degraded","DEG2","4","Salvia apiana","mature",0
"440","degraded","DEG2","4","Salvia leucophylla","mature",4
"441","degraded","DEG2","4","Sambucus mexicana","mature",0
"442","degraded","DEG2","4","unknown5 shrub","mature",0
"443","degraded","DEG2","5","Artemisia californica","mature",0
"444","degraded","DEG2","5","Baccharis pilularis","mature",0
"445","degraded","DEG2","5","Cenothus oliganthus","mature",0
"446","degraded","DEG2","5","Eriodictyon crassifolium","mature",0
"447","degraded","DEG2","5","Eriogonum fasciculatum","mature",0
"448","degraded","DEG2","5","Heteromeles arbutifolia","mature",0
"449","degraded","DEG2","5","Malacothamnus fasciculatus","mature",13
"450","degraded","DEG2","5","Rhamnus ilicifolia","mature",0
"451","degraded","DEG2","5","Rhus ovata","mature",0
"452","degraded","DEG2","5","Salvia apiana","mature",0
"453","degraded","DEG2","5","Salvia leucophylla","mature",2
"454","degraded","DEG2","5","Sambucus mexicana","mature",0
"455","degraded","DEG2","5","unknown5 shrub","mature",0
"456","degraded","DEG2","6","Artemisia californica","mature",1
"457","degraded","DEG2","6","Baccharis pilularis","mature",0
"458","degraded","DEG2","6","Cenothus oliganthus","mature",0
"459","degraded","DEG2","6","Eriodictyon crassifolium","mature",0
"460","degraded","DEG2","6","Eriogonum fasciculatum","mature",0
"461","degraded","DEG2","6","Heteromeles arbutifolia","mature",0
"462","degraded","DEG2","6","Malacothamnus fasciculatus","mature",7
"463","degraded","DEG2","6","Rhamnus ilicifolia","mature",0
"464","degraded","DEG2","6","Rhus ovata","mature",0
"465","degraded","DEG2","6","Salvia apiana","mature",0
"466","degraded","DEG2","6","Salvia leucophylla","mature",0
"467","degraded","DEG2","6","Sambucus mexicana","mature",0
"468","degraded","DEG2","6","unknown5 shrub","mature",0
"469","intact","Intact1","1","Artemisia californica","mature",4
"470","intact","Intact1","1","Baccharis pilularis","mature",0
"471","intact","Intact1","1","Cenothus oliganthus","mature",0
